date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:21	9173/9173	---M--	200	added ('OK')	image/jpeg	etag:%227ce02cc-23d5-579998c4cca43%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-brazil.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-brazil.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:21	8727/8727	---M--	200	added ('OK')	image/jpeg	etag:%227ce02cd-2217-579998c52bdb5%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-chile.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-chile.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:21	41447/41447	---M-Z	200	added ('OK')	text/html	etag:%227cc1e4c-a1e7-579993b17d4c4-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/account_page.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/account_page.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:22	44322/44322	---M-Z	200	added ('OK')	text/html	etag:%227cc1e6c-ad22-579993bcbbbd4-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/wishlist.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/wishlist.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:22	58741/58741	---M-Z	200	added ('OK')	text/html	etag:%227cc1e55-e575-579993b4a79b7-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/checkout.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/checkout.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:23	153855/153855	---M-Z	200	added ('OK')	text/html	etag:%227cc1e5a-258ff-579993b6f3bf3-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/index.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/index.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:23	8618/8618	---M--	200	added ('OK')	image/jpeg	etag:%227ce02d6-21aa-579998c6426c5%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-spain.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-spain.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:23	2636/2636	---M--	200	added ('OK')	image/png	etag:%227ce02e6-a4c-579998c807102%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/logo.png	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/logo.png	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:25	68921/68921	---M-Z	200	added ('OK')	text/html	etag:%227cc1e5d-10d39-579993b7ac519-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/shopping_cart.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/shopping_cart.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:44	142001/142001	---M--	200	added ('OK')	image/jpeg	etag:%227ce0448-22ab1-57999c0ad1465%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/products/img07.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/products/img07.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
