date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:29	90849/90849	---M-Z	200	added ('OK')	text/html	etag:%227cc104b-162e1-579990e8f8432-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/shop_grid_full_width.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/shop_grid_full_width.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:30	50471/50471	---M-Z	200	added ('OK')	text/html	etag:%227cc1058-c527-579990ed616bf-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/wishlist.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/wishlist.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:30	76269/76269	---M-Z	200	added ('OK')	text/html	etag:%227cc1049-129ed-579990e79873f-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/shopping_cart.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/shopping_cart.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:31	56094/56094	---M-Z	200	added ('OK')	text/html	etag:%227cc101e-db1e-579990e631133-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/faq.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/faq.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:31	92238/92238	---M-Z	200	added ('OK')	text/html	etag:%227cc1050-1684e-579990eb13544-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/single_product.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/single_product.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:31	99695/99695	---M-Z	200	added ('OK')	text/html	etag:%227cc1054-1856f-579990ec16da5-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/single_product_right_sidebar.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/single_product_right_sidebar.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:32	99524/99524	---M-Z	200	added ('OK')	text/html	etag:%227cc1052-184c4-579990eb22b5d-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/single_product_left_sidebar.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/single_product_left_sidebar.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:32	92256/92256	---M-Z	200	added ('OK')	text/html	etag:%227cc1053-16860-579990ec70f10-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/single_product_magnific_popup.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/single_product_magnific_popup.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:33	91867/91867	---M-Z	200	added ('OK')	text/html	etag:%227cc100f-166db-579990e42a45a-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/cat-4-col-full.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/cat-4-col-full.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:33	47042/47042	---M-Z	200	added ('OK')	text/html	etag:%227cc1014-b7c2-579990e59c646-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/create_account_page.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/create_account_page.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:34	49705/49705	---M-Z	200	added ('OK')	text/html	etag:%227cc0ff5-c229-579990e06953b-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/about_us.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/about_us.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:34	13534/13534	---M--	200	added ('OK')	image/jpeg	etag:%227cc13bc-34de-57999593682dd%22	http://htmlmystore.justthemevalley.com/fancy/version2/images/e-img4.jpg	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/images/e-img4.jpg	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:34	48629/48629	---M-Z	200	added ('OK')	text/html	etag:%227cc1012-bdf5-579990e5011e1-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/contact_us.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/contact_us.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:34	46222/46222	---M-Z	200	added ('OK')	text/html	etag:%227cc1001-b48e-579990dfe638e-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/404error.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/404error.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:35	55983/55983	---M-Z	200	added ('OK')	text/html	etag:%227cc1003-daaf-579990e1283f1-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/blog.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/blog.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:35	65591/65591	---M-Z	200	added ('OK')	text/html	etag:%227cc100d-10037-579990e28afc5-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/blog_right_sidebar.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/blog_right_sidebar.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
11:45:35	65613/65613	---M-Z	200	added ('OK')	text/html	etag:%227cc1005-1004d-579990e1dfd77-gzip%22	http://htmlmystore.justthemevalley.com/fancy/version2/blog_left_sidebar.html	C:/My%20Web%20Sites/ecomm_web/htmlmystore.justthemevalley.com/fancy/version2/blog_left_sidebar.html	(from http://htmlmystore.justthemevalley.com/fancy/version2/index.html)
